A;B;lat;long;id;date;category;location;mode;price;antigüedad;area Costruida;area privada;valor arriendo;valor administracion;parqueaderos;Habitaciones;baños;estrato
2848;711;626.436;-7.559.788;11166-M3061469;22/09/2021;Casa;Calasanz;Arriendo;$ 1.450.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida90 m²'; 'Área privada90 m²'; 'Valor arriendo$1.450.000';;; '3Habitaciones'; '2Baños'; '5Estrato'
2849;712;6.214.116;-7.557.277;737-7122;24/07/2021;Casa;Manila;Arriendo;$ 4.000.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida208 m²'; 'Área privada208 m²'; 'Valor arriendo$4.000.000';; 'Parqueaderos1'; '5Habitaciones'; '5Baños';" '4Estrato']"""
2850;712;6.187.257;-75.551.125;687-M2057099;23/08/2021;Casa;EL POBLADO;Arriendo;$ 16.000.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida376 m²'; 'Área privada376 m²'; 'Valor arriendo$16.000.000';; 'Parqueaderos4'; '3Habitaciones'; '4Baños';" '6Estrato']"""
2851;712;6.241.015;-7.558.698;2895-1323872;19/06/2021;Casa;LOS CONQUISTADORES;Arriendo;$ 8.000.000; 'AntigüedadEntre 5 y 10 años'; 'Área construida600 m²'; 'Área privada600 m²'; 'Valor arriendo$8.000.000';; 'Parqueaderos4'; '5Habitaciones'; '5Baños';" '5Estrato']"""
2852;712;625.776;;11166-M3073550;22/09/2021;Casa;Antonio Nariño;Arriendo;$ 850.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida70 m²'; 'Área privada70 m²'; 'Valor arriendo$850.000';;; '3Habitaciones'; '2Baños'; '3Estrato'
2853;713;61.841.474;-7.557.369;687-M2499217;19/06/2021;Casa;EL POBLADO;Arriendo;$ 3.100.000; 'AntigüedadEntre 10 y 20 años'; 'Área construida286 m²'; 'Área privada286 m²'; 'Valor arriendo$3.100.000';; 'Parqueaderos2'; '4Habitaciones'; '4Baños';" '6Estrato']"""
2854;713;625.541;-7.555.806;11395-M2875167;23/08/2021;Casa;Prado;Arriendo;$ 1.500.000; 'AntigüedadMás de 20 años'; 'Área construida100 m²'; 'Área privada100 m²'; 'Valor arriendo$1.500.000';;; '5Habitaciones'; '2Baños';" '4Estrato']"""
2855;713;62.439.327;-75.607.765;11392-A4484;24/07/2021;Casa;Simon Bolivar;Arriendo;$ 2.500.000; 'AntigüedadEntre 0 y 5 años'; 'Área construida170 m²'; 'Área privada170 m²'; 'Valor arriendo$2.500.000';;; '3Habitaciones'; '2Baños';" '5Estrato']"""
2856;713;6.239.522;-7.559.278;MC2824691;22/09/2021;Casa;LAURELES - Centro;Arriendo;$ 3.600.000; 'AntigüedadMás de 20 años'; 'Área construida200 m²'; 'Área privada200 m²'; 'Valor arriendo$3.600.000';; 'Parqueaderos1'; '4Habitaciones'; '3Baños'; '5Estrato'
2857;714;62.071.075;-7.556.774;687-M1990766;19/06/2021;Casa;EL POBLADO;Arriendo;$ 8.000.000; 'AntigüedadMás de 20 años'; 'Área construida160 m²'; 'Área privada160 m²'; 'Valor arriendo$8.000.000';;; '4Habitaciones'; '3Baños';" '6Estrato']"""
2858;714;61.873.317;-7.555.806;11224-3608222;24/07/2021;Casa;Los Balsos;Arriendo;$ 30.000.000; 'AntigüedadMás de 20 años'; 'Área construida2353 m²'; 'Área privada3921 m²'; 'Valor arriendo$30.000.000';;; '5Habitaciones'; '5Baños';" '5Estrato']"""
